Page,Titre,Sous-section,Section,Contenu,Liens,Images
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Votre corps et l’alcool,"Lorsqu’on boit de l’alcool, c’est le foie qui s’occupe de l’éliminer en mettant en suspens ses autres tâches comme celle d’ajuster le taux de sucre dans le sang (glycémie). Cela affecte le contrôle de la glycémie.  Il est important de surveiller plus souvent sa glycémie lors de la consommation d’alcool. L’alcool peut faire monter le taux de sucre (hyperglycémie) si la boisson consommée contient beaucoup de glucides. L’alcool peut aussi faire baisser le taux de sucre (hypoglycémie), parce qu’il empêche le foie de produire du sucre quand les aliments n’en fournissent pas suffisamment. Ce phénomène risque de se produire si l’alcool est consommé seul, en apéritif par exemple. Les personnes vivant avec le diabète qui prennent de l’insuline ou des médicaments sécrétagogues de l’insuline* sont particulièrement à risque d’hypoglycémie. * Sécrétagogues de l’insuline : gliclazide (DiamicronMDet Diamicron MRMD), glimépiride (AmarylMD), glyburide (DiabetaMD),  répaglinide (GlucoNormMD).",https://www.diabete.qc.ca/le-diabete/la-gestion-du-diabete/hypoglycemie-comprendre-traiter/; https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Attention!,L’hypoglycémie peut même survenir jusqu’à 24 heures plus tard!Le glucagon ne pourra pas corriger une hypoglycémie causée par une prise d’alcool excessive.Les symptômes de l’hypoglycémie peuvent ressembler aux symptômes d’ivresse.,https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Quelle quantité d’alcool puis-je boire?,"Les Lignes directrices de pratique clinique 2018 de Diabète Canada pour la prévention et le traitement du diabète au Canada recommandent aux personnes vivant avec le diabète une consommation d’alcool limitée, basée sur les mêmes recommandations que pour la population générale: Femmes : 2 consommations maximum par jourMoins de 10 consommations par semaine Hommes : 3 consommations maximum par jourMoins de 15 consommations par semaine Il est également recommandé de ne pas boire tous les jours. Une consommation d’alcool équivaut à : 340 mL (12oz) de bière à 5% d’alcool140 mL (5 oz) de vin (rouge ou blanc) à 12% d’alcool85 mL (3 oz) de vin fortifié (ex.: porto) à 20% d’alcool45 mL (1,5 oz) de spiritueux à 40% d’alcool Si vous souffrez d’hypertension, avez un taux élevé de triglycérides (gras) dans le sang, des problèmes de foie ou neurologiques, il vaut mieux limiter votre consommation d’alcool. En cas de doute, consultez votre médecin ou votre pharmacien(ne) pour connaître vos propres limites à ne pas dépasser en matière d’alcool.",https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Hypoglycémie: Quelques conseils préventifs pour les personnes à risque,"Boire l’alcool lentement;Ne jamais boire l’estomac vide et avoir un supplément de sucre avec soi;Informer les gens qui vous accompagnent que les symptômes d’hypoglycémie peuvent ressembler à ceux de l’ivresse et quoi faire en cas de problème;Mesurer sa glycémie plus souvent. Ne pas oublier de le faire au coucher;Prendre une collation supplémentaire au coucher, au besoin pour prévenir l’hypoglycémie nocturne;S’assurer de se lever à l’heure habituelle pour déjeuner le lendemain d’une soirée arrosée;Éviter l’alcool avant, pendant et après une activité physique.",https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Contenu en glucides et en calories de quelques boissons :,"Type de boissonQuantité(une consommation)Glucides (g)Énergie (Calories)Bière (5% alcool)340 mL (12 oz)12145Bière légère (4% alcool)340 mL (12 oz)5100Bière sans alcool (0.5% d’alcool)340 mL (12 oz)12-1860-85Cognac45 mL (1,5 oz)0115Cherry Brandy45 mL (1,5 oz)15125Gin, rhum, rye, scotch, vodka, whisky45 mL (1,5 oz)0100Vin blanc sec (12% d’alcool)140 mL (5 oz)195Vin mousseux, champagne140 mL (5 oz)2105Vin rouge sec (12% d’alcool)140 mL (5 oz)2100Vin rosé140 mL (5 oz)2100Porto85 mL (3 oz)10130Source : Adapté duManuel de nutrition clinique de l’OPDQ, 2007.",https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Des ressources pour vous aider,,https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Ressources externes,Educ’alcool  Recherche et rédaction:Équipe de professionnelles de la santé de Diabète Québec Juillet 2022,https://www.educalcool.qc.ca/publication/alcool-et-diabete/; https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Alcoolet diabète,Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous,https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,Les propriétés du chanvre,"Cultivé tant pour ses fibres solides, ses graines nourrissantes que pour ses propriétés médicinales, le chanvre est une plante annuelle qui compte 4 000 variétés. Cette plante a largement été utilisée dans le passé, et l’est encore à notre époque, pour les multiples applications qu’elle permet : tissus, cordages, combustibles, papeterie, huiles, alimentation humaine et animale… Au Canada, la culture du chanvre est autorisée depuis 1998 et est strictement réglementée et inspectée par Santé Canada. Le chanvre est notamment cultivé en Saskatchewan, au Manitoba et en Alberta.",https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,Quel est le lien entre le chanvre et le cannabis?,"Le chanvre et le cannabis désigne la même espèce botanique, soit le Cannabis Sativa L. Le terme chanvre désigne la plante industrielle et sa fibre végétale alors que le terme cannabis est le nom scientifique qui désigne la forme psychotrope utilisée comme drogue récréative ou dans un but médical. En effet, le cannabis est connu pour son effet euphorisant une fois séché. C’est la concentration de delta-9-tétrahydrocannabinol (THC) qui différencie le chanvre industriel ou agricole du cannabis. Le chanvre industriel contient moins de 0,3% de THC alors que le chanvre récréatif en contient plus de 5% en fonction des espèces. Il existe plusieurs sous-espèces du Cannabis Sativa L. dont les principales sont le sativa et l’indica. Le cannabis sativa procure un effet stimulant et euphorisant alors que le cannabis indica procure une sensation de relaxation et de détente.",https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,"Quelle est la différence entre cannabis, marijuana et haschich?","Le terme cannabis désigne l’ensemble de la plante. La marijuana est composée à partir des feuilles supérieures, des fleurs et des graines du cannabis. Ces composantes sont séchées, finement hachées et fumées telles quelles ou mélangées avec du tabac. La marijuana peut aussi être utilisée en pâtisserie. Sa teneur en THC est variable, pouvant même atteindre une concentration de 30 % selon sa provenance ou son mode de préparation. Le haschich est une pâte qui est confectionnée avec les fleurs de la plante de cannabis, dont la teneur en THC peut aller jusqu’à 60 %.",https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,La composition du cannabis,Le cannabis est une drogue dite naturelle mais il n’est pas inoffensif pour autant. Il est composé de plus de 500 substances différentes dont les principales sont le delta-9-tétrahydrocannabinol (THC) et le cannabidiol (CBD). Ces composés chimiques sont appelés cannabinoïdes.,https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,Le delta-9-tétrahydrocannabinol (THC),"Le THC est le principal ingrédient actif qui provoque, entre autres, un effet euphorisant. Plus un produit est concentré en THC, plus il produit des effets importants et nocifs. Au cours des 30 dernières années, les nouveaux procédés de culture et la sélection des plants ont évolué. Ainsi, la concentration de THC du cannabis est passée en moyenne de 1 % en 1960 à au moins 12 % en 2015. Le THC active un système interne du corps composé de récepteurs spécifiques agissant entre autres sur la mémoire, la coordination motrice ou au niveau du système immunitaire. Le THC est responsable de la manière dont notre cerveau réagit au cannabis (la fameuse sensation d’euphorie ou le high). Le THC agit aussi au niveau des récepteurs du cerveau responsables du contrôle de la prise alimentaire. Il est un puissant stimulateur de l’appétit.",https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
"Consommation d’alcool, de tabac ou de drogues",Consommationd’alcool et de drogues,Lecannabiset le diabète,Le cannabidiol (CBD),"Le CBD, un autre cannabinoïde, ne produit pas d’effet euphorisant. Il peut bloquer ou réduire certains effets du THC si la quantité présente dans le cannabis est égale ou supérieure au THC. Il est étudié surtout pour ses usages thérapeutiques potentiels.",https://diabete.eudonet.com/specif/EUDO_07984/Infolettres/Infolettres.aspx ; https://www.facebook.com/diabetequebec; https://ca.linkedin.com/company/diabète-québec; https://www.youtube.com/@DiabeteQuebec; https://www.instagram.com/diabetequebec/; https://www.diabete.qc.ca/nous-joindre/; https://www.diabete.qc.ca/faq/; https://www.diabete.qc.ca/plan-du-site/; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.diabete.qc.ca/politique-de-confidentialite/; #; https://www.diabete.qc.ca/conditions-dutilisation/; https://www.vortexsolution.com/; https://www.vortexsolution.com/,https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg; https://www.diabete.qc.ca/wp-content/themes/diabete.qc.ca/dist/images/logo.svg
